date,reality,R_09,R_1,R_11,med,min,max,error_min,error_med,error_max
2021-01-14,1221.7142857142858,1218,1226.2857142857142,1187.5714285714287,1218,1187.5714285714287,1226.2857142857142,-1.1,-0.1,0.2
2021-01-15,1239.857142857143,1234.5714285714287,1241.3265306122448,1208.0816326530612,1234.5714285714287,1208.0816326530612,1241.3265306122448,-1,-0.2,0
2021-01-16,1258,1251.142857142857,1256.3673469387754,1228.591836734694,1251.142857142857,1228.591836734694,1256.3673469387754,-1,-0.2,-0.1
2021-01-17,1276.142857142857,1267.7142857142858,1271.408163265306,1249.1020408163265,1267.7142857142858,1249.1020408163265,1271.408163265306,-0.9,-0.3,-0.2
2021-01-18,1294.2857142857144,1284.2857142857142,1286.4489795918369,1269.6122448979593,1284.2857142857142,1269.6122448979593,1286.4489795918369,-0.8,-0.3,-0.3
2021-01-19,1312.4285714285716,1300.857142857143,1301.4897959183675,1290.1224489795918,1300.857142857143,1290.1224489795918,1301.4897959183675,-0.7,-0.4,-0.4
2021-01-20,1330.5714285714287,1317.4285714285713,1316.530612244898,1310.6326530612246,1316.530612244898,1310.6326530612246,1317.4285714285713,-0.7,-0.5,-0.4
2021-01-21,1348.7142857142858,1334,1331.5714285714287,1331.142857142857,1331.5714285714287,1331.142857142857,1334,-0.6,-0.6,-0.5
2021-01-22,1346.0408163265306,1337.3061224489795,1335.9795918367347,1332.857142857143,1335.9795918367347,1332.857142857143,1337.3061224489795,-0.4,-0.3,-0.3
2021-01-23,1343.3673469387757,1340.6122448979593,1340.387755102041,1334.5714285714284,1340.387755102041,1334.5714285714284,1340.6122448979593,-0.3,-0.1,-0.1
2021-01-24,1340.6938775510205,1343.9183673469388,1344.795918367347,1336.2857142857142,1343.9183673469388,1336.2857142857142,1344.795918367347,-0.1,0.1,0.1
2021-01-25,1338.0204081632653,1347.2244897959183,1349.204081632653,1338,1347.2244897959183,1338,1349.204081632653,-0,0.3,0.4
2021-01-26,1335.3469387755101,1350.5306122448978,1353.612244897959,1339.7142857142858,1350.5306122448978,1339.7142857142858,1353.612244897959,0.1,0.5,0.6
2021-01-27,1332.6734693877552,1353.8367346938776,1358.0204081632653,1341.4285714285713,1353.8367346938776,1341.4285714285713,1358.0204081632653,0.3,0.7,0.8
2021-01-28,1330,1357.142857142857,1362.4285714285713,1343.142857142857,1357.142857142857,1343.142857142857,1362.4285714285713,0.4,0.9,1.1
2021-01-29,1329.6938775510205,1357.0408163265306,1368.5918367346937,1350.8367346938776,1357.0408163265306,1350.8367346938776,1368.5918367346937,0.7,0.9,1.3
2021-01-30,1329.3877551020407,1356.938775510204,1374.7551020408164,1358.5306122448978,1358.5306122448978,1356.938775510204,1374.7551020408164,0.9,1,1.5
2021-01-31,1329.0816326530612,1356.8367346938776,1380.9183673469388,1366.2244897959183,1366.2244897959183,1356.8367346938776,1380.9183673469388,0.9,1.2,1.7
2021-02-01,1328.7755102040817,1356.7346938775509,1387.0816326530612,1373.9183673469388,1373.9183673469388,1356.7346938775509,1387.0816326530612,0.9,1.5,1.9
2021-02-02,1328.4693877551022,1356.6326530612243,1393.2448979591836,1381.6122448979593,1381.6122448979593,1356.6326530612243,1393.2448979591836,0.9,1.8,2.1
2021-02-03,1328.1632653061224,1356.5306122448978,1399.4081632653063,1389.3061224489795,1389.3061224489795,1356.5306122448978,1399.4081632653063,0.9,2,2.3
2021-02-04,1327.857142857143,1356.4285714285713,1405.5714285714287,1397,1397,1356.4285714285713,1405.5714285714287,0.9,2.3,2.6
2021-02-05,1304.530612244898,1353.3265306122448,1422.387755102041,1440.1632653061224,1422.387755102041,1353.3265306122448,1440.1632653061224,1.6,3.9,4.5
2021-02-06,1281.204081632653,1350.2244897959183,1439.204081632653,1483.3265306122448,1439.204081632653,1350.2244897959183,1483.3265306122448,2.3,5.2,6.7
2021-02-07,1257.8775510204082,1347.1224489795918,1456.0204081632653,1526.4897959183672,1456.0204081632653,1347.1224489795918,1526.4897959183672,2.9,6.5,8.8
2021-02-08,1234.5510204081634,1344.0204081632653,1472.8367346938776,1569.6530612244896,1472.8367346938776,1344.0204081632653,1569.6530612244896,3.6,7.8,11
2021-02-09,1211.2244897959185,1340.9183673469388,1489.6530612244899,1612.8163265306123,1489.6530612244899,1340.9183673469388,1612.8163265306123,4.3,9.2,13.2
2021-02-10,1187.8979591836735,1337.8163265306123,1506.469387755102,1655.9795918367347,1506.469387755102,1337.8163265306123,1655.9795918367347,4.9,10.5,15.4
2021-02-11,1164.5714285714287,1334.7142857142858,1523.2857142857142,1699.142857142857,1523.2857142857142,1334.7142857142858,1699.142857142857,5.6,11.8,17.6
2021-02-12,1161.5714285714287,1336.7551020408164,1554.2857142857142,1762.795918367347,1554.2857142857142,1336.7551020408164,1762.795918367347,5.8,12.9,19.8
2021-02-13,1158.5714285714287,1338.795918367347,1585.2857142857142,1826.4489795918366,1585.2857142857142,1338.795918367347,1826.4489795918366,5.9,14.1,22
2021-02-14,1155.5714285714287,1340.8367346938776,1616.2857142857142,1890.1020408163265,1616.2857142857142,1340.8367346938776,1890.1020408163265,6.1,15.2,24.2
2021-02-15,1152.5714285714287,1342.8775510204082,1647.2857142857142,1953.7551020408164,1647.2857142857142,1342.8775510204082,1953.7551020408164,6.3,16.3,26.4
2021-02-16,1149.5714285714287,1344.9183673469388,1678.2857142857142,2017.408163265306,1678.2857142857142,1344.9183673469388,2017.408163265306,6.4,17.4,28.6
2021-02-17,1146.5714285714287,1346.9591836734694,1709.2857142857142,2081.061224489796,1709.2857142857142,1346.9591836734694,2081.061224489796,6.6,18.5,30.8
2021-02-18,1143.5714285714287,1349,1740.2857142857142,2144.714285714286,1740.2857142857142,1349,2144.714285714286,6.8,19.7,33
2021-02-19,1149.387755102041,1358.7142857142858,1784.5918367346937,2245.122448979592,1784.5918367346937,1358.7142857142858,2245.122448979592,6.9,20.9,36.1
2021-02-20,1155.204081632653,1368.4285714285713,1828.8979591836735,2345.530612244898,1828.8979591836735,1368.4285714285713,2345.530612244898,7,22.2,39.2
2021-02-21,1161.0204081632653,1378.142857142857,1873.204081632653,2445.938775510204,1873.204081632653,1378.142857142857,2445.938775510204,7.2,23.5,42.3
2021-02-22,1166.8367346938776,1387.857142857143,1917.5102040816328,2546.3469387755104,1917.5102040816328,1387.857142857143,2546.3469387755104,7.3,24.7,45.4
2021-02-23,1172.6530612244899,1397.5714285714287,1961.8163265306123,2646.7551020408164,1961.8163265306123,1397.5714285714287,2646.7551020408164,7.4,26,48.6
2021-02-24,1178.469387755102,1407.2857142857142,2006.1224489795918,2747.1632653061224,2006.1224489795918,1407.2857142857142,2747.1632653061224,7.5,27.3,51.7
2021-02-25,1184.2857142857142,1417,2050.4285714285716,2847.5714285714284,2050.4285714285716,1417,2847.5714285714284,7.7,28.5,54.8
2021-02-26,1188.5306122448978,1437.857142857143,2123.081632653061,3003.938775510204,2123.081632653061,1437.857142857143,3003.938775510204,8.2,30.8,59.8
2021-02-27,1192.7755102040817,1458.7142857142858,2195.7346938775513,3160.3061224489793,2195.7346938775513,1458.7142857142858,3160.3061224489793,8.8,33,64.8
2021-02-28,1197.0204081632653,1479.5714285714287,2268.387755102041,3316.673469387755,2268.387755102041,1479.5714285714287,3316.673469387755,9.3,35.3,69.8
2021-03-01,1201.265306122449,1500.4285714285713,2341.0408163265306,3473.0408163265306,2341.0408163265306,1500.4285714285713,3473.0408163265306,9.9,37.5,74.8
