date,green1,green2,green3,blue1,blue2,blue3,reality_report,reality
2021-03-06,1558.4897959183675,2839.591836734694,NA,2717.7142857142853,NA,NA,NA,1229.3469387755101
2021-03-07,1594.8775510204082,2960.9591836734694,NA,2858.142857142857,NA,NA,NA,1237.0204081632653
2021-03-08,1631.265306122449,3082.326530612245,NA,2998.5714285714284,NA,NA,NA,1244.6938775510205
2021-03-09,1667.6530612244896,3203.6938775510207,NA,3139,NA,NA,NA,1252.3673469387757
2021-03-10,1704.0408163265306,3325.061224489796,NA,3279.428571428571,NA,NA,NA,1260.0408163265306
2021-03-11,1740.4285714285713,3446.4285714285716,NA,3419.8571428571427,NA,NA,NA,1267.7142857142858
2021-03-12,1787.2857142857142,3600.326530612245,NA,3618.326530612245,NA,NA,NA,1295.0408163265306
2021-03-13,1834.142857142857,3754.224489795918,NA,3816.7959183673465,NA,NA,NA,1322.3673469387757
2021-03-14,1881,3908.122448979592,NA,4015.2653061224487,NA,NA,NA,1349.6938775510205
2021-03-15,1927.857142857143,4062.020408163265,NA,4213.734693877551,NA,NA,NA,1377.0204081632653
2021-03-16,1974.7142857142858,4215.918367346939,NA,4412.204081632653,NA,NA,NA,1404.3469387755104
2021-03-17,2021.5714285714287,4369.816326530612,NA,4610.673469387755,NA,NA,NA,1431.6734693877552
2021-03-18,2068.4285714285716,4523.714285714285,NA,4809.142857142857,NA,NA,NA,1459
